css-901oao,product_image-wrapper__wHSJ6 src,product_title__t7dLU,product_category__MfZs_,product_price__hgX1S,product_old-price__72yeH,product_description__C_5ER,product_code__HvsVs
7% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_MkdWM6Qn5bswBeQb4LrhA%3D%3D.jpg?alt=media,Carretilla 75Lts Rueda Plastica,FERRETERIA,"ARS 55,900.00","ARS 59,900.00",x10 unidades $52.900 c/u,
3% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_28DBE88D-EE6F-4372-BF8C-173A0CB61788.jpg?alt=media,Trompo Hormigonera 130L 3/4HP Maciza,FERRETERIA,"ARS 329,000.00","ARS 339,000.00",x4 unidades 309.000 c/u,
8% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_3BF12E27-1948-4144-87EC-CBB9EC634F9C.jpg?alt=media,Bomba Periférica 1/2hp GardenPlus BP150G-7,GARDENPLUS,"ARS 33,900.00","ARS 36,900.00",x12 unidades $29.900 c/u,
7% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/uNiBt23xEeTLHc6qq0SczvMaNPf1%2Fthumb_280_0A8753B3-F0CB-4F0D-A843-0988831038A3.jpg?alt=media,Generador 2500w GardenPlus GP2500,GARDENPLUS,"ARS 255,000.00","ARS 275,000.00",x3 Unidades $245.000 c/u,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_CBA3418C-6AB3-47F2-984B-B70116233F5C.jpg?alt=media,GP8000 Generador GardenPlus 15HP,GARDENPLUS,"ARS 727,700.00",,,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/ZFyc7Bt6RkXUMOZjV0nJrgbWuBK2%2Fthumb_280_YYNQ%2Bc2HjkrGQ3snlrvIw%3D%3D.jpg?alt=media,LH-199BK TALADRO ATORNILLADOR INALAMBRICO BRUSHLESS GARDEN PLUS,GARDENPLUS,"ARS 74,900.00",,MANDRIL METALICO 10MM TECNOLOGIA BRUSHLESS (SIN CARBONES) BATERIA DE 18V MALETIN CON ACCESORIOS,COD: LH-199BK
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_9C93jr1oasawiNFskvDh1Q%3D%3D.jpg?alt=media,"GP2002 Pinza Universal 8"" GardenPlus",HERRAMIENTAS DE MANO,"ARS 4,830.00",,,COD: GP2002
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_ZIVHazSptW6vvg1l9G34hA%3D%3D.jpg?alt=media,GP2004 Alicate Corte Oblicuo 6” GardenPlus,HERRAMIENTAS DE MANO,"ARS 3,830.00",,,COD: GP2004
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/UxJDx4tXqVMwdhW1pLbTXZQNXC03%2Fthumb_280_6ldiISmRsG6QR6fghxGf%2BQ%3D%3D.jpg?alt=media,L4300 Pinza de Presión Mordaza Recta 7” 180mm Lusqtoff PRO,HERRAMIENTAS DE MANO,"ARS 8,230.00",,Llevando x6 unidades [5% OFF],
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/UxJDx4tXqVMwdhW1pLbTXZQNXC03%2Fthumb_280_H%2BHguat%2B1LsBGMYCFGan1g%3D%3D.jpg?alt=media,L4302 Pinza de Presión Mordaza Recta 10” 250mm Lusqtoff PRO,HERRAMIENTAS DE MANO,"ARS 9,880.00",,Llevando x6 unidades [5% OFF],
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/ZFyc7Bt6RkXUMOZjV0nJrgbWuBK2%2Fthumb_280_HT2GmDXVSZB%2BW1L5qHw%2B7Q%3D%3D.jpg?alt=media,L7474 Tijera Corta Tubo PVC 42 mm,HERRAMIENTAS DE MANO,"ARS 6,990.00",,,COD: L7474
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/ZFyc7Bt6RkXUMOZjV0nJrgbWuBK2%2Fthumb_280_x1lOUc9yXSiSsdDMSk93EQ%3D%3D.jpg?alt=media,L7510 Martillo Galponero Mango de Fibra Lusqtoff,HERRAMIENTAS DE MANO,"ARS 8,070.00",,Llevando x6 unidades [5% OFF],COD: L7510
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/ZFyc7Bt6RkXUMOZjV0nJrgbWuBK2%2Fthumb_280_159E8EF8-CB7A-4F3B-808A-8B83C34E2536.jpg?alt=media,L7532 Maza de Albañil 1250g Lusqtoff PRO,HERRAMIENTAS DE MANO,"ARS 12,760.00",,Llevando x6 unidades [5% OFF],COD: L7532
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/ZFyc7Bt6RkXUMOZjV0nJrgbWuBK2%2Fthumb_280_B14FDEA1-956C-413D-9E91-248DF6BADA88.jpg?alt=media,L7702 Remachadora Manual 260 mm Lusqtoff PRO,HERRAMIENTAS DE MANO,"ARS 7,820.00",,Llevando x6 unidades [5% OFF],COD: L7702
5% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_053C1FF4-CA5A-4E9C-9D52-5CEAC384D6E9.jpg?alt=media,Bordeadora 700W Mega Indelplas,INDELPLAS,"ARS 52,900.00","ARS 55,900.00",~ PROMO TEMPORADA ~ [x5 $51.890 c/u] [x10 $50.490 c/u] [x25 $48.890 c/u],
5% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/z8ceXb8w02TssUbULtdA08LxbUz1%2Fthumb_280_2DBF8F6F-56BB-4189-9FF9-5A053BB065EB.jpg?alt=media,Amoladora 720w Lusqtoff L-820,LUSQTOFF,"ARS 40,900.00","ARS 42,900.00",x10 unidades $38.940 c/u,
10% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_2C669D48-DE4C-43A1-AB5A-07E732FA4727.jpg?alt=media,Hidrolavadora 1200w 70bar Lusqtoff HL100-7,LUSQTOFF,"ARS 84,900.00","ARS 94,395.00",🚨 SUPER BAJA DE PRECIO VERANO ☀️⛱️,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_b4bb86f3-dc05-4f56-bc76-baa1421e898f.jpg?alt=media,Set de Herramientas ATG18-7 a Batería 18V (TALADRO + AMOLADORA),LUSQTOFF,"ARS 169,000.00",,,
68% OFF,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_CZ2EGf98sXB1zdZDOZ3KFw%3D%3D.jpg?alt=media,Silicona Transparente Lusqtoff SITL78-9,LUSQTOFF,ARS 990.00,"ARS 3,100.00",📦 Compra Minima 3 Cajas (Cajas de 24 unidades) 🚨 Vencimiento Marzo 2026 🚨,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_%2BxWSdCWhDPMha050pqspSQ%3D%3D.jpg?alt=media,Termo 1L Azul Lusqtoff TL1-9A,LUSQTOFF,"ARS 28,300.00",,,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_kDPUFDLr9UfbkMxzpUpyRQ%3D%3D.jpg?alt=media,Termo 1L Blanco Lusqtoff TL1-9B,LUSQTOFF,"ARS 28,300.00",,,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_C279AF2B-9AEF-473B-9739-B97E75D1C133.jpg?alt=media,Termo 1L Rosa Lusqtoff TL1-9R,LUSQTOFF,"ARS 28,300.00",,,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/kO7PxYkhJuh8ulF3RSBup3HgPoo1%2Fthumb_280_PA5hp2SEyRfe%2Bzb1YDoKPA%3D%3D.jpg?alt=media,Termo 1L Verde Lusqtoff TL1-9,LUSQTOFF,"ARS 28,300.00",,,
,https://firebasestorage.stagebeta.kyte.site/v0/b/kyte-7c484.appspot.com/o/uNiBt23xEeTLHc6qq0SczvMaNPf1%2Fthumb_280_555C2A5B-33AD-468D-BE79-5D1798B8FFAC.jpg?alt=media,Vaso Térmico 1.2Lts Blanco Lusqtoff VTL1.2-9B,LUSQTOFF,"ARS 31,500.00",,,
